content,score,label,clean_text
terima kasih gojek sangat membantu mobilitas saya sih,4,positif,terima kasih gojek sangat bantu mobilitas sih
aplikasi biasa saja tidak ada yang istimewa banget,3,netral,aplikasi biasa tidak yang istimewa banget
driver membatalkan pesanan seenaknya sangat kecewa ya,1,negatif,driver batal pesan enak sangat kecewa
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
fitur gopay memudahkan transaksi sehari hari,4,positif,fitur gopay mudah transaksi hari hari
promo dan diskon nya banyak sangat menguntungkan sih,4,positif,promo diskon nya banyak sangat untung sih
tampilan aplikasi membingungkan setelah update deh,1,negatif,tampil aplikasi bingung update deh
aplikasi gojek sangat membantu dan cepat,5,positif,aplikasi gojek sangat bantu cepat
perlu banyak perbaikan tapi masih bisa dipakai ya,3,netral,perlu banyak baik masih pakai
aplikasi biasa saja tidak ada yang istimewa sih,3,netral,aplikasi biasa tidak yang istimewa sih
terima kasih gojek sangat membantu mobilitas saya,5,positif,terima kasih gojek sangat bantu mobilitas
pembayaran gopay sering gagal saat checkout ya,1,negatif,bayar gopay sering gagal checkout
driver membatalkan pesanan seenaknya sangat kecewa ya,2,negatif,driver batal pesan enak sangat kecewa
aplikasi sering error dan force close ya,1,negatif,aplikasi sering error force close
perlu banyak perbaikan tapi masih bisa dipakai nih,3,netral,perlu banyak baik masih pakai nih
aplikasi gojek sangat membantu dan cepat sih,4,positif,aplikasi gojek sangat bantu cepat sih
kadang puas kadang kecewa tergantung driver sih,3,netral,kadang puas kadang kecewa gantung driver sih
perlu banyak perbaikan tapi masih bisa dipakai banget,3,netral,perlu banyak baik masih pakai banget
pembayaran gopay sering gagal saat checkout deh,1,negatif,bayar gopay sering gagal checkout deh
perlu banyak perbaikan tapi masih bisa dipakai deh,3,netral,perlu banyak baik masih pakai deh
promo dan diskon nya banyak sangat menguntungkan,5,positif,promo diskon nya banyak sangat untung
kadang puas kadang kecewa tergantung driver sih,3,netral,kadang puas kadang kecewa gantung driver sih
terima kasih gojek sangat membantu mobilitas saya deh,4,positif,terima kasih gojek sangat bantu mobilitas deh
aplikasi sering error dan force close,2,negatif,aplikasi sering error force close
aplikasi bagus tidak pernah error banget,5,positif,aplikasi bagus pernah error banget
aplikasi sering error dan force close nih,1,negatif,aplikasi sering error force close nih
sangat kecewa dengan pelayanan akhir akhir ini sih,1,negatif,sangat kecewa layan akhir akhir sih
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
customer service lambat merespon keluhan banget,1,negatif,customer service lambat merespon keluh banget
"driver ramah dan tepat waktu, mantap sih",5,positif,driver ramah tepat waktu mantap sih
pembayaran gopay sering gagal saat checkout sih,2,negatif,bayar gopay sering gagal checkout sih
tampilan aplikasi membingungkan setelah update banget,1,negatif,tampil aplikasi bingung update banget
terima kasih gojek sangat membantu mobilitas saya,4,positif,terima kasih gojek sangat bantu mobilitas
harga tiba tiba naik tanpa alasan jelas deh,2,negatif,harga tiba tiba naik alas jelas deh
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
aplikasi bagus tidak pernah error sih,5,positif,aplikasi bagus pernah error sih
aplikasi oke tapi harga kadang mahal nih,3,netral,aplikasi oke harga kadang mahal nih
pembayaran gopay sering gagal saat checkout deh,2,negatif,bayar gopay sering gagal checkout deh
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
"driver ramah dan tepat waktu, mantap ya",4,positif,driver ramah tepat waktu mantap
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
fitur gopay memudahkan transaksi sehari hari deh,4,positif,fitur gopay mudah transaksi hari hari deh
sangat kecewa dengan pelayanan akhir akhir ini sih,2,negatif,sangat kecewa layan akhir akhir sih
pelayanan driver sopan dan profesional nih,5,positif,layan driver sopan profesional nih
cukup membantu meski masih ada kekurangan ya,3,netral,cukup bantu meski ada kurang
promo dan diskon nya banyak sangat menguntungkan sih,5,positif,promo diskon nya banyak sangat untung sih
sangat recommended aplikasi ojek online terbaik,4,positif,sangat recommended aplikasi ojek online baik
lumayan untuk dipakai sehari hari,3,netral,lumayan pakai hari hari
puas dengan layanan gofood pengiriman cepat ya,4,positif,puas layan gofood kirim cepat
aplikasi bagus tidak pernah error nih,4,positif,aplikasi bagus pernah error nih
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
customer service lambat merespon keluhan sih,2,negatif,customer service lambat merespon keluh sih
biasa saja tidak buruk tidak juga bagus,3,netral,biasa buruk tidak juga bagus
so so masih perlu banyak improvement deh,3,netral,so so perlu banyak improvement deh
cukup membantu meski masih ada kekurangan banget,3,netral,cukup bantu meski ada kurang banget
biasa saja tidak buruk tidak juga bagus nih,3,netral,biasa buruk tidak juga bagus nih
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
fiturnya standar sama seperti aplikasi lain sih,3,netral,fiturnya standar sama aplikasi sih
lumayan untuk dipakai sehari hari sih,3,netral,lumayan pakai hari hari sih
aplikasi bagus tidak pernah error sih,5,positif,aplikasi bagus pernah error sih
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
promo dan diskon nya banyak sangat menguntungkan nih,5,positif,promo diskon nya banyak sangat untung nih
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
perlu banyak perbaikan tapi masih bisa dipakai deh,3,netral,perlu banyak baik masih pakai deh
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
aplikasi bagus tidak pernah error,4,positif,aplikasi bagus pernah error
aplikasi biasa saja tidak ada yang istimewa sih,3,netral,aplikasi biasa tidak yang istimewa sih
harga tiba tiba naik tanpa alasan jelas ya,2,negatif,harga tiba tiba naik alas jelas
GPS tidak akurat driver nyasar terus ya,1,negatif,gps akurat driver nyasar terus
sangat recommended aplikasi ojek online terbaik deh,4,positif,sangat recommended aplikasi ojek online baik deh
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
aplikasi gojek sangat membantu dan cepat banget,5,positif,aplikasi gojek sangat bantu cepat banget
"driver ramah dan tepat waktu, mantap banget",5,positif,driver ramah tepat waktu mantap banget
driver membatalkan pesanan seenaknya sangat kecewa nih,2,negatif,driver batal pesan enak sangat kecewa nih
puas dengan layanan gofood pengiriman cepat ya,4,positif,puas layan gofood kirim cepat
aplikasi oke tapi harga kadang mahal sih,3,netral,aplikasi oke harga kadang mahal sih
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
terima kasih gojek sangat membantu mobilitas saya ya,5,positif,terima kasih gojek sangat bantu mobilitas ya
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
sangat kecewa dengan pelayanan akhir akhir ini ya,1,negatif,sangat kecewa layan akhir akhir ya
update terbaru semakin lancar dan responsif ya,5,positif,update baru makin lancar responsif
update terbaru semakin lancar dan responsif banget,4,positif,update baru makin lancar responsif banget
kadang lancar kadang error tergantung jaringan,3,netral,kadang lancar kadang error gantung jaring
pembayaran gopay sering gagal saat checkout banget,1,negatif,bayar gopay sering gagal checkout banget
GPS tidak akurat driver nyasar terus banget,2,negatif,gps akurat driver nyasar terus banget
driver membatalkan pesanan seenaknya sangat kecewa nih,1,negatif,driver batal pesan enak sangat kecewa nih
aplikasi oke tapi harga kadang mahal ya,3,netral,aplikasi oke harga kadang mahal
aplikasi gojek sangat membantu dan cepat banget,5,positif,aplikasi gojek sangat bantu cepat banget
puas dengan layanan gofood pengiriman cepat sih,4,positif,puas layan gofood kirim cepat sih
perlu banyak perbaikan tapi masih bisa dipakai sih,3,netral,perlu banyak baik masih pakai sih
lumayan untuk dipakai sehari hari sih,3,netral,lumayan pakai hari hari sih
perlu banyak perbaikan tapi masih bisa dipakai nih,3,netral,perlu banyak baik masih pakai nih
puas dengan layanan gofood pengiriman cepat deh,4,positif,puas layan gofood kirim cepat deh
GPS tidak akurat driver nyasar terus sih,2,negatif,gps akurat driver nyasar terus sih
pembayaran gopay sering gagal saat checkout banget,2,negatif,bayar gopay sering gagal checkout banget
fiturnya standar sama seperti aplikasi lain sih,3,netral,fiturnya standar sama aplikasi sih
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
promo dan diskon nya banyak sangat menguntungkan,4,positif,promo diskon nya banyak sangat untung
aplikasi gojek sangat membantu dan cepat sih,4,positif,aplikasi gojek sangat bantu cepat sih
puas dengan layanan gofood pengiriman cepat deh,4,positif,puas layan gofood kirim cepat deh
update terbaru semakin lancar dan responsif nih,4,positif,update baru makin lancar responsif nih
aplikasi lemot dan sering nge-lag sih,2,negatif,aplikasi lot sering nge lag sih
aplikasi gojek sangat membantu dan cepat banget,4,positif,aplikasi gojek sangat bantu cepat banget
sangat recommended aplikasi ojek online terbaik ya,5,positif,sangat recommended aplikasi ojek online baik
customer service lambat merespon keluhan banget,2,negatif,customer service lambat merespon keluh banget
puas dengan layanan gofood pengiriman cepat deh,5,positif,puas layan gofood kirim cepat deh
"driver ramah dan tepat waktu, mantap deh",4,positif,driver ramah tepat waktu mantap deh
sangat recommended aplikasi ojek online terbaik nih,4,positif,sangat recommended aplikasi ojek online baik nih
terima kasih gojek sangat membantu mobilitas saya banget,5,positif,terima kasih gojek sangat bantu mobilitas banget
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
lumayan untuk dipakai sehari hari nih,3,netral,lumayan pakai hari hari nih
update terbaru semakin lancar dan responsif ya,4,positif,update baru makin lancar responsif
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
update terbaru semakin lancar dan responsif sih,5,positif,update baru makin lancar responsif sih
driver membatalkan pesanan seenaknya sangat kecewa sih,1,negatif,driver batal pesan enak sangat kecewa sih
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
customer service lambat merespon keluhan nih,2,negatif,customer service lambat merespon keluh nih
aplikasi sering error dan force close sih,1,negatif,aplikasi sering error force close sih
aplikasi gojek sangat membantu dan cepat deh,4,positif,aplikasi gojek sangat bantu cepat deh
puas dengan layanan gofood pengiriman cepat sih,5,positif,puas layan gofood kirim cepat sih
terima kasih gojek sangat membantu mobilitas saya,5,positif,terima kasih gojek sangat bantu mobilitas
so so masih perlu banyak improvement ya,3,netral,so so perlu banyak improvement
"driver ramah dan tepat waktu, mantap nih",5,positif,driver ramah tepat waktu mantap nih
aplikasi gojek sangat membantu dan cepat,5,positif,aplikasi gojek sangat bantu cepat
customer service lambat merespon keluhan sih,1,negatif,customer service lambat merespon keluh sih
biasa saja tidak buruk tidak juga bagus sih,3,netral,biasa buruk tidak juga bagus sih
kadang lancar kadang error tergantung jaringan sih,3,netral,kadang lancar kadang error gantung jaring sih
lumayan untuk dipakai sehari hari banget,3,netral,lumayan pakai hari hari banget
sangat kecewa dengan pelayanan akhir akhir ini sih,1,negatif,sangat kecewa layan akhir akhir sih
update terbaru semakin lancar dan responsif ya,5,positif,update baru makin lancar responsif
aplikasi bagus tidak pernah error sih,5,positif,aplikasi bagus pernah error sih
biasa saja tidak buruk tidak juga bagus,3,netral,biasa buruk tidak juga bagus
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
aplikasi gojek sangat membantu dan cepat deh,4,positif,aplikasi gojek sangat bantu cepat deh
driver membatalkan pesanan seenaknya sangat kecewa deh,2,negatif,driver batal pesan enak sangat kecewa deh
aplikasi gojek sangat membantu dan cepat nih,4,positif,aplikasi gojek sangat bantu cepat nih
aplikasi oke tapi harga kadang mahal deh,3,netral,aplikasi oke harga kadang mahal deh
"driver ramah dan tepat waktu, mantap",4,positif,driver ramah tepat waktu mantap
kadang puas kadang kecewa tergantung driver nih,3,netral,kadang puas kadang kecewa gantung driver nih
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
so so masih perlu banyak improvement deh,3,netral,so so perlu banyak improvement deh
puas dengan layanan gofood pengiriman cepat,4,positif,puas layan gofood kirim cepat
puas dengan layanan gofood pengiriman cepat banget,4,positif,puas layan gofood kirim cepat banget
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
fiturnya standar sama seperti aplikasi lain banget,3,netral,fiturnya standar sama aplikasi banget
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
aplikasi bagus tidak pernah error sih,4,positif,aplikasi bagus pernah error sih
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
so so masih perlu banyak improvement banget,3,netral,so so perlu banyak improvement banget
tampilan aplikasi membingungkan setelah update nih,1,negatif,tampil aplikasi bingung update nih
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
fitur gopay memudahkan transaksi sehari hari sih,5,positif,fitur gopay mudah transaksi hari hari sih
puas dengan layanan gofood pengiriman cepat sih,5,positif,puas layan gofood kirim cepat sih
perlu banyak perbaikan tapi masih bisa dipakai deh,3,netral,perlu banyak baik masih pakai deh
kadang lancar kadang error tergantung jaringan ya,3,netral,kadang lancar kadang error gantung jaring
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
aplikasi biasa saja tidak ada yang istimewa sih,3,netral,aplikasi biasa tidak yang istimewa sih
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
cukup membantu meski masih ada kekurangan banget,3,netral,cukup bantu meski ada kurang banget
harga tiba tiba naik tanpa alasan jelas nih,2,negatif,harga tiba tiba naik alas jelas nih
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
tampilan aplikasi membingungkan setelah update,2,negatif,tampil aplikasi bingung update
aplikasi bagus tidak pernah error ya,4,positif,aplikasi bagus pernah error
perlu banyak perbaikan tapi masih bisa dipakai sih,3,netral,perlu banyak baik masih pakai sih
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
update terbaru semakin lancar dan responsif ya,4,positif,update baru makin lancar responsif
kadang lancar kadang error tergantung jaringan ya,3,netral,kadang lancar kadang error gantung jaring
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
sangat kecewa dengan pelayanan akhir akhir ini,2,negatif,sangat kecewa layan akhir akhir
cukup membantu meski masih ada kekurangan deh,3,netral,cukup bantu meski ada kurang deh
aplikasi oke tapi harga kadang mahal banget,3,netral,aplikasi oke harga kadang mahal banget
"driver ramah dan tepat waktu, mantap sih",4,positif,driver ramah tepat waktu mantap sih
GPS tidak akurat driver nyasar terus nih,2,negatif,gps akurat driver nyasar terus nih
GPS tidak akurat driver nyasar terus ya,1,negatif,gps akurat driver nyasar terus
update terbaru semakin lancar dan responsif banget,4,positif,update baru makin lancar responsif banget
pelayanan driver sopan dan profesional sih,4,positif,layan driver sopan profesional sih
fitur gopay memudahkan transaksi sehari hari deh,5,positif,fitur gopay mudah transaksi hari hari deh
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
"driver ramah dan tepat waktu, mantap deh",4,positif,driver ramah tepat waktu mantap deh
aplikasi biasa saja tidak ada yang istimewa nih,3,netral,aplikasi biasa tidak yang istimewa nih
tampilan aplikasi membingungkan setelah update ya,2,negatif,tampil aplikasi bingung update
kadang puas kadang kecewa tergantung driver deh,3,netral,kadang puas kadang kecewa gantung driver deh
aplikasi biasa saja tidak ada yang istimewa nih,3,netral,aplikasi biasa tidak yang istimewa nih
update terbaru semakin lancar dan responsif nih,5,positif,update baru makin lancar responsif nih
puas dengan layanan gofood pengiriman cepat deh,4,positif,puas layan gofood kirim cepat deh
fiturnya standar sama seperti aplikasi lain,3,netral,fiturnya standar sama aplikasi
customer service lambat merespon keluhan ya,1,negatif,customer service lambat merespon keluh
kadang puas kadang kecewa tergantung driver ya,3,netral,kadang puas kadang kecewa gantung driver
pembayaran gopay sering gagal saat checkout banget,1,negatif,bayar gopay sering gagal checkout banget
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
tampilan aplikasi membingungkan setelah update nih,1,negatif,tampil aplikasi bingung update nih
kadang lancar kadang error tergantung jaringan sih,3,netral,kadang lancar kadang error gantung jaring sih
fitur gopay memudahkan transaksi sehari hari deh,4,positif,fitur gopay mudah transaksi hari hari deh
aplikasi bagus tidak pernah error sih,5,positif,aplikasi bagus pernah error sih
promo dan diskon nya banyak sangat menguntungkan ya,4,positif,promo diskon nya banyak sangat untung
aplikasi biasa saja tidak ada yang istimewa,3,netral,aplikasi biasa tidak yang istimewa
driver membatalkan pesanan seenaknya sangat kecewa deh,1,negatif,driver batal pesan enak sangat kecewa deh
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
susah dapat driver padahal jam sibuk,1,negatif,susah driver padahal jam sibuk
fitur gopay memudahkan transaksi sehari hari sih,5,positif,fitur gopay mudah transaksi hari hari sih
"driver ramah dan tepat waktu, mantap banget",4,positif,driver ramah tepat waktu mantap banget
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
pelayanan driver sopan dan profesional deh,5,positif,layan driver sopan profesional deh
cukup membantu meski masih ada kekurangan deh,3,netral,cukup bantu meski ada kurang deh
update terbaru semakin lancar dan responsif deh,4,positif,update baru makin lancar responsif deh
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
aplikasi bagus tidak pernah error,4,positif,aplikasi bagus pernah error
update terbaru semakin lancar dan responsif banget,4,positif,update baru makin lancar responsif banget
fitur gopay memudahkan transaksi sehari hari banget,4,positif,fitur gopay mudah transaksi hari hari banget
aplikasi sering error dan force close banget,2,negatif,aplikasi sering error force close banget
terima kasih gojek sangat membantu mobilitas saya banget,5,positif,terima kasih gojek sangat bantu mobilitas banget
driver membatalkan pesanan seenaknya sangat kecewa deh,2,negatif,driver batal pesan enak sangat kecewa deh
fitur gopay memudahkan transaksi sehari hari nih,4,positif,fitur gopay mudah transaksi hari hari nih
susah dapat driver padahal jam sibuk deh,1,negatif,susah driver padahal jam sibuk deh
susah dapat driver padahal jam sibuk banget,2,negatif,susah driver padahal jam sibuk banget
biasa saja tidak buruk tidak juga bagus,3,netral,biasa buruk tidak juga bagus
sangat kecewa dengan pelayanan akhir akhir ini ya,2,negatif,sangat kecewa layan akhir akhir ya
susah dapat driver padahal jam sibuk nih,2,negatif,susah driver padahal jam sibuk nih
terima kasih gojek sangat membantu mobilitas saya ya,5,positif,terima kasih gojek sangat bantu mobilitas ya
driver membatalkan pesanan seenaknya sangat kecewa ya,1,negatif,driver batal pesan enak sangat kecewa
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
"driver ramah dan tepat waktu, mantap ya",5,positif,driver ramah tepat waktu mantap
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
promo dan diskon nya banyak sangat menguntungkan banget,5,positif,promo diskon nya banyak sangat untung banget
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
aplikasi gojek sangat membantu dan cepat,4,positif,aplikasi gojek sangat bantu cepat
driver membatalkan pesanan seenaknya sangat kecewa deh,2,negatif,driver batal pesan enak sangat kecewa deh
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
GPS tidak akurat driver nyasar terus banget,1,negatif,gps akurat driver nyasar terus banget
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
aplikasi gojek sangat membantu dan cepat nih,5,positif,aplikasi gojek sangat bantu cepat nih
susah dapat driver padahal jam sibuk ya,2,negatif,susah driver padahal jam sibuk
aplikasi bagus tidak pernah error ya,5,positif,aplikasi bagus pernah error
update terbaru semakin lancar dan responsif deh,4,positif,update baru makin lancar responsif deh
puas dengan layanan gofood pengiriman cepat,4,positif,puas layan gofood kirim cepat
aplikasi oke tapi harga kadang mahal banget,3,netral,aplikasi oke harga kadang mahal banget
fitur gopay memudahkan transaksi sehari hari sih,4,positif,fitur gopay mudah transaksi hari hari sih
fitur gopay memudahkan transaksi sehari hari,4,positif,fitur gopay mudah transaksi hari hari
"driver ramah dan tepat waktu, mantap",4,positif,driver ramah tepat waktu mantap
lumayan untuk dipakai sehari hari banget,3,netral,lumayan pakai hari hari banget
puas dengan layanan gofood pengiriman cepat,5,positif,puas layan gofood kirim cepat
"driver ramah dan tepat waktu, mantap banget",4,positif,driver ramah tepat waktu mantap banget
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
sangat kecewa dengan pelayanan akhir akhir ini nih,2,negatif,sangat kecewa layan akhir akhir nih
driver membatalkan pesanan seenaknya sangat kecewa ya,2,negatif,driver batal pesan enak sangat kecewa
pelayanan driver sopan dan profesional sih,4,positif,layan driver sopan profesional sih
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
biasa saja tidak buruk tidak juga bagus ya,3,netral,biasa buruk tidak juga bagus
so so masih perlu banyak improvement deh,3,netral,so so perlu banyak improvement deh
terima kasih gojek sangat membantu mobilitas saya sih,4,positif,terima kasih gojek sangat bantu mobilitas sih
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
pelayanan driver sopan dan profesional banget,4,positif,layan driver sopan profesional banget
terima kasih gojek sangat membantu mobilitas saya nih,5,positif,terima kasih gojek sangat bantu mobilitas nih
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
tampilan aplikasi membingungkan setelah update banget,2,negatif,tampil aplikasi bingung update banget
"driver ramah dan tepat waktu, mantap banget",5,positif,driver ramah tepat waktu mantap banget
so so masih perlu banyak improvement deh,3,netral,so so perlu banyak improvement deh
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
aplikasi oke tapi harga kadang mahal deh,3,netral,aplikasi oke harga kadang mahal deh
so so masih perlu banyak improvement nih,3,netral,so so perlu banyak improvement nih
fiturnya standar sama seperti aplikasi lain,3,netral,fiturnya standar sama aplikasi
aplikasi biasa saja tidak ada yang istimewa banget,3,netral,aplikasi biasa tidak yang istimewa banget
pelayanan driver sopan dan profesional banget,4,positif,layan driver sopan profesional banget
driver membatalkan pesanan seenaknya sangat kecewa,2,negatif,driver batal pesan enak sangat kecewa
GPS tidak akurat driver nyasar terus ya,2,negatif,gps akurat driver nyasar terus
