content,score,label,clean_text
update terbaru semakin lancar dan responsif nih,4,positif,update baru makin lancar responsif nih
cukup membantu meski masih ada kekurangan,3,netral,cukup bantu meski ada kurang
promo dan diskon nya banyak sangat menguntungkan,5,positif,promo diskon nya banyak sangat untung
sangat kecewa dengan pelayanan akhir akhir ini,2,negatif,sangat kecewa layan akhir akhir
pembayaran gopay sering gagal saat checkout banget,1,negatif,bayar gopay sering gagal checkout banget
aplikasi bagus tidak pernah error ya,4,positif,aplikasi bagus pernah error
aplikasi sering error dan force close,1,negatif,aplikasi sering error force close
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
update terbaru semakin lancar dan responsif sih,4,positif,update baru makin lancar responsif sih
pelayanan driver sopan dan profesional sih,5,positif,layan driver sopan profesional sih
pelayanan driver sopan dan profesional banget,4,positif,layan driver sopan profesional banget
susah dapat driver padahal jam sibuk ya,2,negatif,susah driver padahal jam sibuk
fiturnya standar sama seperti aplikasi lain,3,netral,fiturnya standar sama aplikasi
"driver ramah dan tepat waktu, mantap ya",5,positif,driver ramah tepat waktu mantap
pembayaran gopay sering gagal saat checkout ya,1,negatif,bayar gopay sering gagal checkout
biasa saja tidak buruk tidak juga bagus nih,3,netral,biasa buruk tidak juga bagus nih
tampilan aplikasi membingungkan setelah update nih,1,negatif,tampil aplikasi bingung update nih
aplikasi biasa saja tidak ada yang istimewa nih,3,netral,aplikasi biasa tidak yang istimewa nih
biasa saja tidak buruk tidak juga bagus ya,3,netral,biasa buruk tidak juga bagus
pembayaran gopay sering gagal saat checkout banget,1,negatif,bayar gopay sering gagal checkout banget
fiturnya standar sama seperti aplikasi lain deh,3,netral,fiturnya standar sama aplikasi deh
promo dan diskon nya banyak sangat menguntungkan,4,positif,promo diskon nya banyak sangat untung
cukup membantu meski masih ada kekurangan deh,3,netral,cukup bantu meski ada kurang deh
kadang puas kadang kecewa tergantung driver ya,3,netral,kadang puas kadang kecewa gantung driver
pembayaran gopay sering gagal saat checkout,1,negatif,bayar gopay sering gagal checkout
so so masih perlu banyak improvement ya,3,netral,so so perlu banyak improvement
sangat recommended aplikasi ojek online terbaik deh,5,positif,sangat recommended aplikasi ojek online baik deh
kadang lancar kadang error tergantung jaringan sih,3,netral,kadang lancar kadang error gantung jaring sih
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
customer service lambat merespon keluhan,1,negatif,customer service lambat merespon keluh
pembayaran gopay sering gagal saat checkout deh,1,negatif,bayar gopay sering gagal checkout deh
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
customer service lambat merespon keluhan sih,1,negatif,customer service lambat merespon keluh sih
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
fitur gopay memudahkan transaksi sehari hari sih,4,positif,fitur gopay mudah transaksi hari hari sih
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
customer service lambat merespon keluhan ya,2,negatif,customer service lambat merespon keluh
perlu banyak perbaikan tapi masih bisa dipakai deh,3,netral,perlu banyak baik masih pakai deh
update terbaru semakin lancar dan responsif,4,positif,update baru makin lancar responsif
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
pembayaran gopay sering gagal saat checkout sih,2,negatif,bayar gopay sering gagal checkout sih
puas dengan layanan gofood pengiriman cepat banget,4,positif,puas layan gofood kirim cepat banget
fitur gopay memudahkan transaksi sehari hari sih,5,positif,fitur gopay mudah transaksi hari hari sih
aplikasi oke tapi harga kadang mahal banget,3,netral,aplikasi oke harga kadang mahal banget
customer service lambat merespon keluhan,1,negatif,customer service lambat merespon keluh
fitur gopay memudahkan transaksi sehari hari,5,positif,fitur gopay mudah transaksi hari hari
aplikasi sering error dan force close banget,2,negatif,aplikasi sering error force close banget
sangat recommended aplikasi ojek online terbaik sih,5,positif,sangat recommended aplikasi ojek online baik sih
aplikasi sering error dan force close deh,2,negatif,aplikasi sering error force close deh
GPS tidak akurat driver nyasar terus nih,2,negatif,gps akurat driver nyasar terus nih
biasa saja tidak buruk tidak juga bagus deh,3,netral,biasa buruk tidak juga bagus deh
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
tampilan aplikasi membingungkan setelah update,1,negatif,tampil aplikasi bingung update
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
driver membatalkan pesanan seenaknya sangat kecewa nih,1,negatif,driver batal pesan enak sangat kecewa nih
kadang puas kadang kecewa tergantung driver banget,3,netral,kadang puas kadang kecewa gantung driver banget
promo dan diskon nya banyak sangat menguntungkan deh,4,positif,promo diskon nya banyak sangat untung deh
perlu banyak perbaikan tapi masih bisa dipakai banget,3,netral,perlu banyak baik masih pakai banget
so so masih perlu banyak improvement deh,3,netral,so so perlu banyak improvement deh
driver membatalkan pesanan seenaknya sangat kecewa ya,2,negatif,driver batal pesan enak sangat kecewa
customer service lambat merespon keluhan nih,1,negatif,customer service lambat merespon keluh nih
susah dapat driver padahal jam sibuk nih,1,negatif,susah driver padahal jam sibuk nih
driver membatalkan pesanan seenaknya sangat kecewa sih,2,negatif,driver batal pesan enak sangat kecewa sih
aplikasi sering error dan force close deh,1,negatif,aplikasi sering error force close deh
aplikasi bagus tidak pernah error sih,4,positif,aplikasi bagus pernah error sih
update terbaru semakin lancar dan responsif banget,4,positif,update baru makin lancar responsif banget
aplikasi gojek sangat membantu dan cepat sih,5,positif,aplikasi gojek sangat bantu cepat sih
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
so so masih perlu banyak improvement nih,3,netral,so so perlu banyak improvement nih
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
update terbaru semakin lancar dan responsif sih,5,positif,update baru makin lancar responsif sih
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
promo dan diskon nya banyak sangat menguntungkan,4,positif,promo diskon nya banyak sangat untung
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
aplikasi gojek sangat membantu dan cepat,5,positif,aplikasi gojek sangat bantu cepat
update terbaru semakin lancar dan responsif banget,5,positif,update baru makin lancar responsif banget
biasa saja tidak buruk tidak juga bagus ya,3,netral,biasa buruk tidak juga bagus
"driver ramah dan tepat waktu, mantap deh",4,positif,driver ramah tepat waktu mantap deh
harga tiba tiba naik tanpa alasan jelas deh,1,negatif,harga tiba tiba naik alas jelas deh
kadang puas kadang kecewa tergantung driver deh,3,netral,kadang puas kadang kecewa gantung driver deh
biasa saja tidak buruk tidak juga bagus banget,3,netral,biasa buruk tidak juga bagus banget
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
pelayanan driver sopan dan profesional banget,4,positif,layan driver sopan profesional banget
fiturnya standar sama seperti aplikasi lain nih,3,netral,fiturnya standar sama aplikasi nih
customer service lambat merespon keluhan deh,1,negatif,customer service lambat merespon keluh deh
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
update terbaru semakin lancar dan responsif ya,4,positif,update baru makin lancar responsif
aplikasi bagus tidak pernah error ya,5,positif,aplikasi bagus pernah error
aplikasi oke tapi harga kadang mahal deh,3,netral,aplikasi oke harga kadang mahal deh
aplikasi bagus tidak pernah error sih,5,positif,aplikasi bagus pernah error sih
harga tiba tiba naik tanpa alasan jelas deh,2,negatif,harga tiba tiba naik alas jelas deh
pelayanan driver sopan dan profesional deh,5,positif,layan driver sopan profesional deh
aplikasi sering error dan force close,1,negatif,aplikasi sering error force close
customer service lambat merespon keluhan ya,2,negatif,customer service lambat merespon keluh
aplikasi bagus tidak pernah error deh,5,positif,aplikasi bagus pernah error deh
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
kadang puas kadang kecewa tergantung driver deh,3,netral,kadang puas kadang kecewa gantung driver deh
aplikasi gojek sangat membantu dan cepat ya,4,positif,aplikasi gojek sangat bantu cepat
aplikasi gojek sangat membantu dan cepat sih,5,positif,aplikasi gojek sangat bantu cepat sih
susah dapat driver padahal jam sibuk sih,1,negatif,susah driver padahal jam sibuk sih
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
aplikasi bagus tidak pernah error,5,positif,aplikasi bagus pernah error
"driver ramah dan tepat waktu, mantap",4,positif,driver ramah tepat waktu mantap
GPS tidak akurat driver nyasar terus ya,2,negatif,gps akurat driver nyasar terus
harga tiba tiba naik tanpa alasan jelas ya,2,negatif,harga tiba tiba naik alas jelas
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
pelayanan driver sopan dan profesional deh,5,positif,layan driver sopan profesional deh
puas dengan layanan gofood pengiriman cepat ya,4,positif,puas layan gofood kirim cepat
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
sangat recommended aplikasi ojek online terbaik deh,5,positif,sangat recommended aplikasi ojek online baik deh
promo dan diskon nya banyak sangat menguntungkan sih,4,positif,promo diskon nya banyak sangat untung sih
pelayanan driver sopan dan profesional nih,5,positif,layan driver sopan profesional nih
promo dan diskon nya banyak sangat menguntungkan nih,4,positif,promo diskon nya banyak sangat untung nih
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
fiturnya standar sama seperti aplikasi lain,3,netral,fiturnya standar sama aplikasi
pembayaran gopay sering gagal saat checkout nih,2,negatif,bayar gopay sering gagal checkout nih
biasa saja tidak buruk tidak juga bagus ya,3,netral,biasa buruk tidak juga bagus
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
customer service lambat merespon keluhan ya,1,negatif,customer service lambat merespon keluh
puas dengan layanan gofood pengiriman cepat nih,5,positif,puas layan gofood kirim cepat nih
aplikasi bagus tidak pernah error,5,positif,aplikasi bagus pernah error
cukup membantu meski masih ada kekurangan banget,3,netral,cukup bantu meski ada kurang banget
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
GPS tidak akurat driver nyasar terus nih,1,negatif,gps akurat driver nyasar terus nih
aplikasi lemot dan sering nge-lag deh,2,negatif,aplikasi lot sering nge lag deh
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
puas dengan layanan gofood pengiriman cepat,4,positif,puas layan gofood kirim cepat
puas dengan layanan gofood pengiriman cepat deh,4,positif,puas layan gofood kirim cepat deh
update terbaru semakin lancar dan responsif sih,4,positif,update baru makin lancar responsif sih
aplikasi gojek sangat membantu dan cepat sih,4,positif,aplikasi gojek sangat bantu cepat sih
update terbaru semakin lancar dan responsif ya,5,positif,update baru makin lancar responsif
GPS tidak akurat driver nyasar terus ya,2,negatif,gps akurat driver nyasar terus
driver membatalkan pesanan seenaknya sangat kecewa,2,negatif,driver batal pesan enak sangat kecewa
tampilan aplikasi membingungkan setelah update deh,1,negatif,tampil aplikasi bingung update deh
pembayaran gopay sering gagal saat checkout,2,negatif,bayar gopay sering gagal checkout
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
terima kasih gojek sangat membantu mobilitas saya deh,4,positif,terima kasih gojek sangat bantu mobilitas deh
aplikasi bagus tidak pernah error sih,4,positif,aplikasi bagus pernah error sih
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
terima kasih gojek sangat membantu mobilitas saya deh,5,positif,terima kasih gojek sangat bantu mobilitas deh
aplikasi sering error dan force close ya,1,negatif,aplikasi sering error force close
terima kasih gojek sangat membantu mobilitas saya ya,4,positif,terima kasih gojek sangat bantu mobilitas ya
biasa saja tidak buruk tidak juga bagus ya,3,netral,biasa buruk tidak juga bagus
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
aplikasi bagus tidak pernah error deh,4,positif,aplikasi bagus pernah error deh
aplikasi sering error dan force close nih,1,negatif,aplikasi sering error force close nih
"driver ramah dan tepat waktu, mantap",5,positif,driver ramah tepat waktu mantap
aplikasi bagus tidak pernah error banget,5,positif,aplikasi bagus pernah error banget
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
tampilan aplikasi membingungkan setelah update ya,2,negatif,tampil aplikasi bingung update
aplikasi gojek sangat membantu dan cepat sih,4,positif,aplikasi gojek sangat bantu cepat sih
biasa saja tidak buruk tidak juga bagus sih,3,netral,biasa buruk tidak juga bagus sih
"driver ramah dan tepat waktu, mantap sih",4,positif,driver ramah tepat waktu mantap sih
fiturnya standar sama seperti aplikasi lain ya,3,netral,fiturnya standar sama aplikasi ya
sangat recommended aplikasi ojek online terbaik ya,4,positif,sangat recommended aplikasi ojek online baik
cukup membantu meski masih ada kekurangan sih,3,netral,cukup bantu meski ada kurang sih
fiturnya standar sama seperti aplikasi lain deh,3,netral,fiturnya standar sama aplikasi deh
perlu banyak perbaikan tapi masih bisa dipakai banget,3,netral,perlu banyak baik masih pakai banget
sangat recommended aplikasi ojek online terbaik nih,4,positif,sangat recommended aplikasi ojek online baik nih
lumayan untuk dipakai sehari hari banget,3,netral,lumayan pakai hari hari banget
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
aplikasi lemot dan sering nge-lag ya,2,negatif,aplikasi lot sering nge lag
aplikasi oke tapi harga kadang mahal banget,3,netral,aplikasi oke harga kadang mahal banget
fitur gopay memudahkan transaksi sehari hari banget,4,positif,fitur gopay mudah transaksi hari hari banget
tampilan aplikasi membingungkan setelah update deh,2,negatif,tampil aplikasi bingung update deh
cukup membantu meski masih ada kekurangan,3,netral,cukup bantu meski ada kurang
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
terima kasih gojek sangat membantu mobilitas saya banget,5,positif,terima kasih gojek sangat bantu mobilitas banget
sangat recommended aplikasi ojek online terbaik ya,5,positif,sangat recommended aplikasi ojek online baik
customer service lambat merespon keluhan sih,1,negatif,customer service lambat merespon keluh sih
biasa saja tidak buruk tidak juga bagus sih,3,netral,biasa buruk tidak juga bagus sih
aplikasi sering error dan force close banget,2,negatif,aplikasi sering error force close banget
terima kasih gojek sangat membantu mobilitas saya banget,5,positif,terima kasih gojek sangat bantu mobilitas banget
aplikasi oke tapi harga kadang mahal sih,3,netral,aplikasi oke harga kadang mahal sih
driver membatalkan pesanan seenaknya sangat kecewa nih,1,negatif,driver batal pesan enak sangat kecewa nih
kadang puas kadang kecewa tergantung driver nih,3,netral,kadang puas kadang kecewa gantung driver nih
susah dapat driver padahal jam sibuk banget,2,negatif,susah driver padahal jam sibuk banget
lumayan untuk dipakai sehari hari,3,netral,lumayan pakai hari hari
aplikasi biasa saja tidak ada yang istimewa ya,3,netral,aplikasi biasa tidak yang istimewa
aplikasi sering error dan force close,1,negatif,aplikasi sering error force close
aplikasi oke tapi harga kadang mahal nih,3,netral,aplikasi oke harga kadang mahal nih
pembayaran gopay sering gagal saat checkout deh,2,negatif,bayar gopay sering gagal checkout deh
pembayaran gopay sering gagal saat checkout ya,2,negatif,bayar gopay sering gagal checkout
so so masih perlu banyak improvement nih,3,netral,so so perlu banyak improvement nih
fitur gopay memudahkan transaksi sehari hari ya,4,positif,fitur gopay mudah transaksi hari hari
sangat recommended aplikasi ojek online terbaik sih,4,positif,sangat recommended aplikasi ojek online baik sih
so so masih perlu banyak improvement ya,3,netral,so so perlu banyak improvement
promo dan diskon nya banyak sangat menguntungkan ya,4,positif,promo diskon nya banyak sangat untung
pelayanan driver sopan dan profesional nih,4,positif,layan driver sopan profesional nih
aplikasi bagus tidak pernah error deh,5,positif,aplikasi bagus pernah error deh
fitur gopay memudahkan transaksi sehari hari nih,4,positif,fitur gopay mudah transaksi hari hari nih
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
puas dengan layanan gofood pengiriman cepat,5,positif,puas layan gofood kirim cepat
aplikasi lemot dan sering nge-lag nih,1,negatif,aplikasi lot sering nge lag nih
update terbaru semakin lancar dan responsif banget,4,positif,update baru makin lancar responsif banget
pelayanan driver sopan dan profesional sih,4,positif,layan driver sopan profesional sih
customer service lambat merespon keluhan sih,1,negatif,customer service lambat merespon keluh sih
tampilan aplikasi membingungkan setelah update sih,1,negatif,tampil aplikasi bingung update sih
aplikasi bagus tidak pernah error deh,4,positif,aplikasi bagus pernah error deh
promo dan diskon nya banyak sangat menguntungkan deh,4,positif,promo diskon nya banyak sangat untung deh
aplikasi biasa saja tidak ada yang istimewa sih,3,netral,aplikasi biasa tidak yang istimewa sih
GPS tidak akurat driver nyasar terus sih,1,negatif,gps akurat driver nyasar terus sih
sangat recommended aplikasi ojek online terbaik deh,4,positif,sangat recommended aplikasi ojek online baik deh
susah dapat driver padahal jam sibuk,1,negatif,susah driver padahal jam sibuk
aplikasi sering error dan force close ya,2,negatif,aplikasi sering error force close
tampilan aplikasi membingungkan setelah update sih,2,negatif,tampil aplikasi bingung update sih
"driver ramah dan tepat waktu, mantap deh",4,positif,driver ramah tepat waktu mantap deh
puas dengan layanan gofood pengiriman cepat ya,4,positif,puas layan gofood kirim cepat
lumayan untuk dipakai sehari hari deh,3,netral,lumayan pakai hari hari deh
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
so so masih perlu banyak improvement sih,3,netral,so so perlu banyak improvement sih
update terbaru semakin lancar dan responsif sih,5,positif,update baru makin lancar responsif sih
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
aplikasi gojek sangat membantu dan cepat sih,5,positif,aplikasi gojek sangat bantu cepat sih
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
so so masih perlu banyak improvement sih,3,netral,so so perlu banyak improvement sih
sangat recommended aplikasi ojek online terbaik deh,5,positif,sangat recommended aplikasi ojek online baik deh
terima kasih gojek sangat membantu mobilitas saya ya,5,positif,terima kasih gojek sangat bantu mobilitas ya
"driver ramah dan tepat waktu, mantap nih",5,positif,driver ramah tepat waktu mantap nih
sangat recommended aplikasi ojek online terbaik ya,5,positif,sangat recommended aplikasi ojek online baik
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
sangat recommended aplikasi ojek online terbaik,4,positif,sangat recommended aplikasi ojek online baik
perlu banyak perbaikan tapi masih bisa dipakai ya,3,netral,perlu banyak baik masih pakai
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
sangat recommended aplikasi ojek online terbaik nih,4,positif,sangat recommended aplikasi ojek online baik nih
puas dengan layanan gofood pengiriman cepat,4,positif,puas layan gofood kirim cepat
biasa saja tidak buruk tidak juga bagus sih,3,netral,biasa buruk tidak juga bagus sih
